,Unnamed: 0,label,url_type,scheme,netloc,path,params,query,fragment,port,ip_1,ip_2,ip_3,ip_4,ip,contains [,contains ],contains {,contains },contains (,contains ),contains ;,contains :,contains ',contains @,contains #,contains ~,contains <,contains >,"contains ,",contains .,contains ?,contains /,contains \,contains |,contains `,contains ¬,contains !,"contains """,contains ^,contains &,contains *,contains -,contains _,contains +,contains =,contains %,contains $,contains £,url length,https,top_level_domain,netloc_length,path_length,params_length,query_length,fragment_length,asn_reg,asn,asn_country_code,asn_date,nets_country_code,status_code,is_redirect,server,expires,content_length,content_type,x_powered_by,tld_ca,tld_com,tld_cx,tld_edu,tld_fr,tld_gov,tld_jp,tld_net,tld_org,tld_ro,tld_ru,tld_tw,tld_uk,servers_ATS,servers_Apache,servers_Apache/2.4.29 (Ubuntu),servers_Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips PHP/7.1.33,servers_Apache/2.4.6 (CentOS) PHP/5.4.16,servers_CloudFront,servers_ECD (nya/79C5),servers_GSE,servers_Microsoft-IIS/10.0,servers_Microsoft-IIS/7.5,servers_Microsoft-IIS/8.5,servers_NR_WEB,servers_NginX,servers_Server,servers_UploadServer,servers_Varnish,servers_cloudflare,servers_mw1391.eqiad.wmnet,servers_nginx,servers_nginx/1.16.1,servers_openresty,asn_country_code_BG,asn_country_code_BR,asn_country_code_CA,asn_country_code_CN,asn_country_code_CY,asn_country_code_FR,asn_country_code_GB,asn_country_code_IN,asn_country_code_JP,asn_country_code_NL,asn_country_code_RU,asn_country_code_US,nets_country_code_BG,nets_country_code_CA,nets_country_code_CN,nets_country_code_EU,nets_country_code_FR,nets_country_code_IE,nets_country_code_IN,nets_country_code_JP,nets_country_code_NL,nets_country_code_RU,nets_country_code_US,status_code_403.0,status_code_404.0,status_code_406.0,status_code_503.0,status_code_999.0,asn_reg_arin,asn_reg_lacnic,asn_reg_ripencc,x_powered_by_ASP.NET,x_powered_by_Express,x_powered_by_PHP/5.4.16,x_powered_by_PHP/5.6.40,x_powered_by_PHP/7.1.33,x_powered_by_W3 Total Cache/0.11.0,x_powered_by_science!
147,268086,0,1,https,www.ivyleaguesports.com,/sports/mbkb/2010-11/releases/NCAA_Mens_Basketball_Tournament_Central,,,,443,98,129,90,235,98.129.90.235,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,100,1,com,23,69,0,0,0,arin,33070,US,2008/5/23,US,404,FALSE,Microsoft-IIS/8.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
222,319542,1,1,http,payer.orientsportshouse.com,/rvso/rcdbl/,,,,80,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,com,27,12,0,0,0,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,5312,0,1,http,www.takara-univ.ac.jp,/,,,,80,164,46,113,128,164.46.113.128,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,29,0,jp,21,1,0,0,0,apnic,4694,JP,1992/11/18,JP,200,FALSE,Apache,0,0,text/html; charset=UTF-8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,226399,0,1,https,www.enotes.com,/topic/List_of_ships_of_the_Israeli_Navy,,,,443,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,62,1,com,14,40,0,0,0,,,,,,200,FALSE,cloudflare,"Thu, 19 Nov 1981 08:52:00 GMT",0,text/html; charset=UTF-8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,312144,0,1,https,www.nytimes.com,/keyword/provigo,,,,443,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,1,com,15,16,0,0,0,,,,,,404,FALSE,Apache,0,5339,text/html; charset=UTF-8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
55,120545,0,1,http,www.mp3bear.com,/,,q=choke+cubs+choke,,80,107,180,238,106,107.180.238.106,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,42,0,com,15,1,0,18,0,arin,26347,US,2018/2/16,US,200,FALSE,Apache,0,14887,text/html; charset=UTF-8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
264,139577,1,1,http,starlitebaby.com,/xls/case8083.xls,,,,80,107,154,84,76,107.154.84.76,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,com,16,17,0,0,0,arin,19551,US,2013/12/2,US,503,FALSE,0,0,679,text/html,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
105,78084,0,1,http,www.en.wikipedia.org,/wiki/Donnie_Ruiz,,,,80,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,44,0,org,20,17,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
297,958297,1,1,http,r100.youth.tc.edu.tw,/Corporation/En/Invoice-receipt/,,,,80,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,59,0,tw,20,32,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,334162,0,1,https,www.sheetmusicplus.com,/s,,q=Tower+Of+Power,,443,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,49,1,com,22,2,0,16,0,,,,,,200,FALSE,ECD (nya/79C5),"Tue, 16 Mar 2021 11:13:46 GMT",40907,text/html; charset=UTF-8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,360173,0,1,https,www.usa-people-search.com,/Find-Bernard-Jean.aspx,,,,443,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,56,1,com,25,23,0,0,0,,,,,,403,FALSE,Varnish,0,3264,text/html,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,172877,0,1,https,www.academon.com,/Film-Review-The-Texas-Chainsaw-Massacre/107692,,,,443,104,237,145,73,104.237.145.73,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,71,1,com,16,47,0,0,0,arin,63949,US,2014/11/13,US,200,FALSE,Apache,"Thu, 19 Nov 1981 08:52:00 GMT",6861,text/html; charset=UTF-8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
84,4932,0,1,http,www.fukuoka-u.ac.jp,/,,,,80,203,180,245,163,203.180.245.163,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,27,0,jp,19,1,0,0,0,apnic,2497,JP,1996/4/11,JP,200,FALSE,nginx,0,0,text/html,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,425056,1,0,http,107.174.221.192,/lmaoWTF/loligang.spc,,,,80,107,174,221,192,107.174.221.192,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,65,0,0,15,21,0,0,0,arin,36352,US,2013/12/27,US,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
